gene_id	symbol	population	n_private_rare	n_high_rare	n_low_rare	n_total_variants	rare_burden_pct	froh	froh_z
SETBP1	SETBP1	CEU	8	0	8	483	1.66	0.0169	-0.843
SETBP1	SETBP1	PJL	8	0	6	483	1.66	0.0571	3.145
SPTBN5	SPTBN5	BEB	8	0	4	381	2.1	0.0275	0.215
SPTBN5	SPTBN5	CLM	8	0	2	381	2.1	0.0338	0.838
SPTBN5	SPTBN5	PEL	8	1	3	381	2.1	0.0314	0.594
STARD9	STARD9	LWK	8	1	3	320	2.5	0.0191	-0.618
SYNE1	SYNE1	CLM	8	0	4	484	1.65	0.0338	0.838
SYNE1	SYNE1	YRI	8	0	2	484	1.65	0.0171	-0.815
SYNE2	SYNE2	PJL	8	0	3	471	1.7	0.0571	3.145
SYNE2	SYNE2	PUR	8	1	2	471	1.7	0.028	0.264
TRIO	TRIO	CLM	8	0	8	396	2.02	0.0338	0.838
ZNF469	ZNF469	MXL	8	0	4	379	2.11	0.0255	0.015
ABCA13	ABCA13	ESN	7	0	1	344	2.03	0.0245	-0.082
ADGRV1	ADGRV1	CHS	7	0	3	357	1.96	0.0171	-0.815
ADGRV1	ADGRV1	GWD	7	0	3	357	1.96	0.0321	0.669
ADGRV1	ADGRV1	IBS	7	0	2	357	1.96	0.0205	-0.48
AHNAK	AHNAK	YRI	7	0	1	521	1.34	0.0171	-0.815
AHNAK2	AHNAK2	KHV	7	0	2	1533	0.46	0.0189	-0.64
AHNAK2	AHNAK2	MSL	7	0	1	1533	0.46	0.0166	-0.873
CDH23	CDH23	CLM	7	0	2	315	2.22	0.0338	0.838
CHD6	CHD6	CHS	7	0	5	325	2.15	0.0171	-0.815
CNTN4	CNTN4	ACB	7	0	5	495	1.41	0.0154	-0.983
DNAH1	DNAH1	CHS	7	0	2	318	2.2	0.0171	-0.815
DNAH1	DNAH1	PUR	7	2	2	318	2.2	0.028	0.264
DNAH1	DNAH1	STU	7	0	4	318	2.2	0.0494	2.379
DNAH10	DNAH10	CEU	7	0	2	327	2.14	0.0169	-0.843
DNAH10	DNAH10	IBS	7	0	3	327	2.14	0.0205	-0.48
DNAH10	DNAH10	STU	7	0	4	327	2.14	0.0494	2.379
DNAH11	DNAH11	PUR	7	0	3	352	1.99	0.028	0.264
DNAH17	DNAH17	ACB	7	0	2	524	1.34	0.0154	-0.983
DNAH17	DNAH17	MSL	7	0	3	524	1.34	0.0166	-0.873
DNAH17	DNAH17	PUR	7	1	4	524	1.34	0.028	0.264
DST	DST	ESN	7	0	1	422	1.66	0.0245	-0.082
DST	DST	KHV	7	0	0	422	1.66	0.0189	-0.64
DST	DST	PUR	7	0	2	422	1.66	0.028	0.264
EPPK1	EPPK1	PJL	7	0	0	448	1.56	0.0571	3.145
FCGBP	FCGBP	IBS	7	0	1	454	1.54	0.0205	-0.48
FCGBP	FCGBP	PJL	7	0	5	454	1.54	0.0571	3.145
FCGBP	FCGBP	PUR	7	0	3	454	1.54	0.028	0.264
FLG	FLG	ESN	7	0	6	783	0.89	0.0245	-0.082
FLG	FLG	GIH	7	2	0	783	0.89	0.0235	-0.186
FLG	FLG	IBS	7	1	3	783	0.89	0.0205	-0.48
FLG	FLG	KHV	7	0	1	783	0.89	0.0189	-0.64
HMCN2	HMCN2	ACB	7	0	1	560	1.25	0.0154	-0.983
HMCN2	HMCN2	IBS	7	0	3	560	1.25	0.0205	-0.48
HSPG2	HSPG2	PEL	7	0	4	431	1.62	0.0314	0.594
HYDIN	HYDIN	KHV	7	0	4	316	2.22	0.0189	-0.64
HYDIN	HYDIN	MXL	7	0	3	316	2.22	0.0255	0.015
LAMA5	LAMA5	CLM	7	0	2	493	1.42	0.0338	0.838
LOC400499	LOC400499	PEL	7	1	1	526	1.33	0.0314	0.594
MACF1	MACF1	ACB	7	2	3	388	1.8	0.0154	-0.983
MACF1	MACF1	PUR	7	0	3	388	1.8	0.028	0.264
MUC12	MUC12	IBS	7	0	0	634	1.1	0.0205	-0.48
MUC16	MUC16	JPT	7	0	2	1197	0.58	0.0219	-0.344
MUC17	MUC17	PEL	7	0	2	668	1.05	0.0314	0.594
MUC17	MUC17	STU	7	0	0	668	1.05	0.0494	2.379
MUC19	MUC19	CDX	7	1	1	958	0.73	0.0276	0.218
MUC4	MUC4	CHS	7	0	3	1816	0.39	0.0171	-0.815
MUC4	MUC4	KHV	7	0	1	1816	0.39	0.0189	-0.64
MUC5B	MUC5B	YRI	7	0	3	922	0.76	0.0171	-0.815
MYO15B	MYO15B	CEU	7	0	3	428	1.64	0.0169	-0.843
MYO15B	MYO15B	IBS	7	0	0	428	1.64	0.0205	-0.48
NEB	NEB	BEB	7	0	3	498	1.41	0.0275	0.215
NEB	NEB	IBS	7	1	2	498	1.41	0.0205	-0.48
NEB	NEB	KHV	7	0	5	498	1.41	0.0189	-0.64
PIEZO1	PIEZO1	CEU	7	0	1	388	1.8	0.0169	-0.843
PKD1	PKD1	PUR	7	0	5	606	1.16	0.028	0.264
PKD1	PKD1	STU	7	0	4	606	1.16	0.0494	2.379
PLEC	PLEC	PEL	7	0	4	672	1.04	0.0314	0.594
RYR1	RYR1	BEB	7	0	2	339	2.06	0.0275	0.215
RYR1	RYR1	KHV	7	0	5	339	2.06	0.0189	-0.64
RYR1	RYR1	PJL	7	0	4	339	2.06	0.0571	3.145
SETBP1	SETBP1	PUR	7	0	7	483	1.45	0.028	0.264
SPTBN5	SPTBN5	PJL	7	1	2	381	1.84	0.0571	3.145
SPTBN5	SPTBN5	YRI	7	2	4	381	1.84	0.0171	-0.815
STARD9	STARD9	CHS	7	0	3	320	2.19	0.0171	-0.815
STARD9	STARD9	MXL	7	0	1	320	2.19	0.0255	0.015
SYNE2	SYNE2	BEB	7	0	2	471	1.49	0.0275	0.215
SYNE2	SYNE2	CLM	7	0	2	471	1.49	0.0338	0.838
TRIO	TRIO	IBS	7	1	4	396	1.77	0.0205	-0.48
TRIO	TRIO	PJL	7	0	6	396	1.77	0.0571	3.145
TTN	TTN	CHB	7	1	2	1907	0.37	0.0172	-0.814
ZNF469	ZNF469	ACB	7	0	4	379	1.85	0.0154	-0.983
ZNF469	ZNF469	CEU	7	0	0	379	1.85	0.0169	-0.843
ZNF469	ZNF469	GWD	7	0	1	379	1.85	0.0321	0.669
ZNF469	ZNF469	IBS	7	0	3	379	1.85	0.0205	-0.48
ABCA13	ABCA13	IBS	6	0	1	344	1.74	0.0205	-0.48
ABCA13	ABCA13	PUR	6	1	3	344	1.74	0.028	0.264
ADGRV1	ADGRV1	CLM	6	0	3	357	1.68	0.0338	0.838
AHNAK	AHNAK	ACB	6	0	1	521	1.15	0.0154	-0.983
AHNAK	AHNAK	ESN	6	0	2	521	1.15	0.0245	-0.082
AHNAK2	AHNAK2	ASW	6	0	3	1533	0.39	0.0161	-0.919
AHNAK2	AHNAK2	CHS	6	0	2	1533	0.39	0.0171	-0.815
CACNA1H	CACNA1H	ESN	6	0	3	422	1.42	0.0245	-0.082
CACNA1H	CACNA1H	IBS	6	0	1	422	1.42	0.0205	-0.48
CACNA1H	CACNA1H	MSL	6	0	3	422	1.42	0.0166	-0.873
CACNA1H	CACNA1H	PUR	6	0	2	422	1.42	0.028	0.264
CACNA1H	CACNA1H	YRI	6	0	4	422	1.42	0.0171	-0.815
CDH23	CDH23	PEL	6	0	1	315	1.9	0.0314	0.594
CHD6	CHD6	BEB	6	0	4	325	1.85	0.0275	0.215
CHD6	CHD6	CLM	6	0	6	325	1.85	0.0338	0.838
CHD6	CHD6	PJL	6	0	6	325	1.85	0.0571	3.145
CSMD1	CSMD1	CEU	6	0	5	316	1.9	0.0169	-0.843
CSMD1	CSMD1	PEL	6	0	2	316	1.9	0.0314	0.594
DNAH1	DNAH1	ACB	6	0	3	318	1.89	0.0154	-0.983
DNAH1	DNAH1	BEB	6	0	1	318	1.89	0.0275	0.215
DNAH1	DNAH1	MXL	6	0	4	318	1.89	0.0255	0.015
DNAH1	DNAH1	PEL	6	0	3	318	1.89	0.0314	0.594
DNAH1	DNAH1	YRI	6	0	5	318	1.89	0.0171	-0.815
DNAH10	DNAH10	PJL	6	0	1	327	1.83	0.0571	3.145
DNAH11	DNAH11	ASW	6	0	1	352	1.7	0.0161	-0.919
DNAH11	DNAH11	CDX	6	0	1	352	1.7	0.0276	0.218
DNAH11	DNAH11	CEU	6	0	3	352	1.7	0.0169	-0.843
DNAH11	DNAH11	GWD	6	0	2	352	1.7	0.0321	0.669
DNAH11	DNAH11	IBS	6	0	3	352	1.7	0.0205	-0.48
DNAH11	DNAH11	PJL	6	0	3	352	1.7	0.0571	3.145
DNAH11	DNAH11	YRI	6	0	2	352	1.7	0.0171	-0.815
DNAH14	DNAH14	JPT	6	1	2	339	1.77	0.0219	-0.344
DNAH14	DNAH14	PEL	6	0	2	339	1.77	0.0314	0.594
DNAH17	DNAH17	CLM	6	0	4	524	1.15	0.0338	0.838
DNAH17	DNAH17	ESN	6	0	3	524	1.15	0.0245	-0.082
DST	DST	MXL	6	0	2	422	1.42	0.0255	0.015
EPPK1	EPPK1	ACB	6	0	2	448	1.34	0.0154	-0.983
EPPK1	EPPK1	BEB	6	0	1	448	1.34	0.0275	0.215
EPPK1	EPPK1	MSL	6	1	3	448	1.34	0.0166	-0.873
EPPK1	EPPK1	PUR	6	1	2	448	1.34	0.028	0.264
FCGBP	FCGBP	ESN	6	0	2	454	1.32	0.0245	-0.082
FCGBP	FCGBP	MXL	6	0	2	454	1.32	0.0255	0.015
FCGBP	FCGBP	PEL	6	0	2	454	1.32	0.0314	0.594
GSE1	GSE1	CLM	6	0	6	432	1.39	0.0338	0.838
GSE1	GSE1	IBS	6	0	3	432	1.39	0.0205	-0.48
GSE1	GSE1	ITU	6	0	5	432	1.39	0.0384	1.295
GSE1	GSE1	JPT	6	1	3	432	1.39	0.0219	-0.344
GSE1	GSE1	MXL	6	0	5	432	1.39	0.0255	0.015
HIVEP2	HIVEP2	CHS	6	0	5	394	1.52	0.0171	-0.815
HIVEP2	HIVEP2	KHV	6	0	5	394	1.52	0.0189	-0.64
HIVEP2	HIVEP2	MXL	6	0	5	394	1.52	0.0255	0.015
HIVEP2	HIVEP2	PEL	6	0	4	394	1.52	0.0314	0.594
HMCN2	HMCN2	KHV	6	0	3	560	1.07	0.0189	-0.64
HMCN2	HMCN2	YRI	6	0	2	560	1.07	0.0171	-0.815
HSPG2	HSPG2	CLM	6	0	2	431	1.39	0.0338	0.838
HYDIN	HYDIN	CEU	6	0	2	316	1.9	0.0169	-0.843
LAMA5	LAMA5	BEB	6	0	6	493	1.22	0.0275	0.215
LAMA5	LAMA5	CEU	6	0	1	493	1.22	0.0169	-0.843
LAMA5	LAMA5	KHV	6	0	1	493	1.22	0.0189	-0.64
LAMA5	LAMA5	PUR	6	0	4	493	1.22	0.028	0.264
LOC400499	LOC400499	BEB	6	0	1	526	1.14	0.0275	0.215
LOC400499	LOC400499	JPT	6	0	4	526	1.14	0.0219	-0.344
LOC400499	LOC400499	KHV	6	1	2	526	1.14	0.0189	-0.64
LOC400499	LOC400499	MXL	6	1	2	526	1.14	0.0255	0.015
LOC400499	LOC400499	PUR	6	0	2	526	1.14	0.028	0.264
LOC400499	LOC400499	STU	6	0	1	526	1.14	0.0494	2.379
MACF1	MACF1	BEB	6	0	1	388	1.55	0.0275	0.215
MACF1	MACF1	MXL	6	0	1	388	1.55	0.0255	0.015
MUC16	MUC16	ASW	6	0	2	1197	0.5	0.0161	-0.919
MUC16	MUC16	FIN	6	0	1	1197	0.5	0.0234	-0.193
MUC17	MUC17	CDX	6	0	1	668	0.9	0.0276	0.218
MUC19	MUC19	ACB	6	1	0	958	0.63	0.0154	-0.983
MUC19	MUC19	CLM	6	0	2	958	0.63	0.0338	0.838
MUC19	MUC19	ITU	6	0	4	958	0.63	0.0384	1.295
MUC19	MUC19	STU	6	1	1	958	0.63	0.0494	2.379
MUC5AC	MUC5AC	BEB	6	0	2	693	0.87	0.0275	0.215
MUC5AC	MUC5AC	KHV	6	0	2	693	0.87	0.0189	-0.64
MUC5B	MUC5B	ACB	6	0	4	922	0.65	0.0154	-0.983
MUC5B	MUC5B	CLM	6	1	0	922	0.65	0.0338	0.838
MYO15B	MYO15B	CHS	6	2	2	428	1.4	0.0171	-0.815
MYO15B	MYO15B	CLM	6	0	2	428	1.4	0.0338	0.838
MYO15B	MYO15B	ESN	6	1	2	428	1.4	0.0245	-0.082
MYO15B	MYO15B	KHV	6	0	2	428	1.4	0.0189	-0.64
NEB	NEB	ESN	6	0	1	498	1.2	0.0245	-0.082
NEB	NEB	FIN	6	1	0	498	1.2	0.0234	-0.193
NEB	NEB	JPT	6	0	3	498	1.2	0.0219	-0.344
NEB	NEB	MXL	6	0	1	498	1.2	0.0255	0.015
NEB	NEB	STU	6	0	3	498	1.2	0.0494	2.379
OBSCN	OBSCN	CDX	6	0	3	906	0.66	0.0276	0.218
OBSCN	OBSCN	KHV	6	0	3	906	0.66	0.0189	-0.64
PDE1C	PDE1C	CEU	6	0	6	362	1.66	0.0169	-0.843
PDE1C	PDE1C	PUR	6	0	5	362	1.66	0.028	0.264
PDE1C	PDE1C	STU	6	0	6	362	1.66	0.0494	2.379
PIEZO1	PIEZO1	ACB	6	0	2	388	1.55	0.0154	-0.983
PIEZO1	PIEZO1	PUR	6	0	3	388	1.55	0.028	0.264
PKD1	PKD1	ACB	6	0	4	606	0.99	0.0154	-0.983
PKD1	PKD1	JPT	6	0	3	606	0.99	0.0219	-0.344
PLEC	PLEC	ACB	6	0	3	672	0.89	0.0154	-0.983
PLEC	PLEC	STU	6	0	1	672	0.89	0.0494	2.379
RYR1	RYR1	CLM	6	0	4	339	1.77	0.0338	0.838
RYR1	RYR1	YRI	6	1	2	339	1.77	0.0171	-0.815
SPTBN5	SPTBN5	ASW	6	0	2	381	1.57	0.0161	-0.919
SPTBN5	SPTBN5	CHS	6	0	2	381	1.57	0.0171	-0.815
STARD9	STARD9	ACB	6	1	3	320	1.88	0.0154	-0.983
SYNE2	SYNE2	ESN	6	0	4	471	1.27	0.0245	-0.082
SYNE2	SYNE2	LWK	6	0	2	471	1.27	0.0191	-0.618
TRIO	TRIO	ASW	6	0	5	396	1.52	0.0161	-0.919
TRIO	TRIO	ESN	6	0	5	396	1.52	0.0245	-0.082
TRIO	TRIO	MXL	6	0	5	396	1.52	0.0255	0.015
TTN	TTN	ASW	6	0	2	1907	0.31	0.0161	-0.919
ZNF469	ZNF469	KHV	6	0	2	379	1.58	0.0189	-0.64
ZNF469	ZNF469	LWK	6	0	2	379	1.58	0.0191	-0.618
ZNF469	ZNF469	MSL	6	0	3	379	1.58	0.0166	-0.873
ZNF469	ZNF469	YRI	6	1	1	379	1.58	0.0171	-0.815
ABCA13	ABCA13	BEB	5	1	1	344	1.45	0.0275	0.215
ABCA13	ABCA13	CEU	5	0	1	344	1.45	0.0169	-0.843
ABCA13	ABCA13	STU	5	1	2	344	1.45	0.0494	2.379
ADGRV1	ADGRV1	JPT	5	0	1	357	1.4	0.0219	-0.344
ADGRV1	ADGRV1	MSL	5	1	2	357	1.4	0.0166	-0.873
AHNAK	AHNAK	CLM	5	0	2	521	0.96	0.0338	0.838
AHNAK	AHNAK	MXL	5	0	1	521	0.96	0.0255	0.015
AHNAK	AHNAK	PEL	5	0	1	521	0.96	0.0314	0.594
AHNAK2	AHNAK2	JPT	5	2	0	1533	0.33	0.0219	-0.344
AHNAK2	AHNAK2	STU	5	0	2	1533	0.33	0.0494	2.379
AHNAK2	AHNAK2	TSI	5	0	1	1533	0.33	0.0181	-0.723
CACNA1H	CACNA1H	BEB	5	0	2	422	1.18	0.0275	0.215
CACNA1H	CACNA1H	CEU	5	0	2	422	1.18	0.0169	-0.843
CACNA1H	CACNA1H	JPT	5	0	1	422	1.18	0.0219	-0.344
CACNA1H	CACNA1H	KHV	5	1	3	422	1.18	0.0189	-0.64
CDH23	CDH23	IBS	5	0	1	315	1.59	0.0205	-0.48
CDH23	CDH23	PUR	5	0	1	315	1.59	0.028	0.264
CNTN4	CNTN4	CLM	5	0	5	495	1.01	0.0338	0.838
CNTN4	CNTN4	PEL	5	0	5	495	1.01	0.0314	0.594
CSMD1	CSMD1	ESN	5	0	3	316	1.58	0.0245	-0.082
CSMD1	CSMD1	IBS	5	1	1	316	1.58	0.0205	-0.48
CSMD1	CSMD1	MSL	5	0	3	316	1.58	0.0166	-0.873
CSMD1	CSMD1	MXL	5	0	4	316	1.58	0.0255	0.015
DNAH1	DNAH1	ASW	5	0	2	318	1.57	0.0161	-0.919
DNAH1	DNAH1	IBS	5	0	0	318	1.57	0.0205	-0.48
DNAH1	DNAH1	LWK	5	0	2	318	1.57	0.0191	-0.618
DNAH10	DNAH10	MXL	5	0	3	327	1.53	0.0255	0.015
DNAH11	DNAH11	PEL	5	0	2	352	1.42	0.0314	0.594
DNAH14	DNAH14	ACB	5	3	1	339	1.47	0.0154	-0.983
DNAH14	DNAH14	YRI	5	0	2	339	1.47	0.0171	-0.815
EPPK1	EPPK1	CLM	5	0	2	448	1.12	0.0338	0.838
EPPK1	EPPK1	LWK	5	0	2	448	1.12	0.0191	-0.618
FCGBP	FCGBP	CEU	5	0	4	454	1.1	0.0169	-0.843
FCGBP	FCGBP	JPT	5	0	2	454	1.1	0.0219	-0.344
FCGBP	FCGBP	MSL	5	0	1	454	1.1	0.0166	-0.873
FCGBP	FCGBP	STU	5	0	3	454	1.1	0.0494	2.379
FLG	FLG	ASW	5	0	3	783	0.64	0.0161	-0.919
FLG	FLG	CLM	5	2	0	783	0.64	0.0338	0.838
FLG	FLG	MSL	5	2	1	783	0.64	0.0166	-0.873
FLG	FLG	PEL	5	0	2	783	0.64	0.0314	0.594
HIVEP2	HIVEP2	ACB	5	0	5	394	1.27	0.0154	-0.983
HIVEP2	HIVEP2	CEU	5	0	2	394	1.27	0.0169	-0.843
HMCN2	HMCN2	ASW	5	0	1	560	0.89	0.0161	-0.919
HMCN2	HMCN2	GIH	5	0	4	560	0.89	0.0235	-0.186
HSPG2	HSPG2	ESN	5	0	3	431	1.16	0.0245	-0.082
HSPG2	HSPG2	JPT	5	0	3	431	1.16	0.0219	-0.344
HSPG2	HSPG2	PJL	5	0	2	431	1.16	0.0571	3.145
HSPG2	HSPG2	PUR	5	0	2	431	1.16	0.028	0.264
HYDIN	HYDIN	BEB	5	0	4	316	1.58	0.0275	0.215
HYDIN	HYDIN	PUR	5	0	2	316	1.58	0.028	0.264
