sampleId	population	group	froh_genome	n_roh_genome	het_rate_chr22	rare_burden_chr22	rare_missense_chr22	stat_pc1	stat_pc2	stat_pc3	umap1	umap2	drift_inbreeding_score	functional_burden_score	diversity_score
HG02012	ACB	African	0.003009	6	0.045962	3848	33	2.4132	0.4109	-0.2453	-1.4699	8.41	-0.8898	1.204	0.9733
HG02013	ACB	African	0.002387	6	0.045479	3028	31	1.9222	0.1237	-0.2067	-0.375	9.1768	-0.8772	0.8434	0.9575
HG02014	ACB	African	0.001641	4	0.044036	3197	35	2.1474	0.0565	0.2422	-2.192	8.9232	-0.8412	1.1635	0.862
HG02015	UNKNOWN		0.010643	21	0.031686	1533	19	-1.3469	0.3176	0.3252	9.0015	4.9826	0.6889	-0.3864	-0.6214
HG02016	KHV	East_Asian	0.006112	12	0.029986	1435	18	-1.178	-0.6051	0.4789	11.8817	6.7149	0.4706	-0.4817	-0.5757
HG02017	KHV	East_Asian	0.006563	13	0.031131	1503	19	-1.0364	-0.4311	0.4323	11.4761	6.5992	0.4253	-0.3946	-0.4939
HG02018	UNKNOWN		0.012302	23	0.033922	1541	16	-1.3919	0.5346	-0.1539	9.0408	4.1791	0.6284	-0.5898	-0.4953
HG02019	KHV	East_Asian	0.008414	17	0.031955	1520	16	-1.2841	-0.1336	0.0784	10.4948	5.2991	0.5118	-0.5955	-0.5011
HG02020	KHV	East_Asian	0.004979	12	0.031336	1547	18	-0.9748	-0.5952	0.3308	11.6763	6.7346	0.3356	-0.4511	-0.4071
HG02023	KHV	East_Asian	0.008004	16	0.034024	1291	26	-0.6489	0.1028	0.7538	8.083	7.5391	0.3308	0.0272	-0.3001
HG02024	UNKNOWN		0.005265	12	0.030335	1522	14	-1.2855	-0.7385	0.1009	12.4028	6.117	0.4165	-0.732	-0.5081
HG02025	KHV	East_Asian	0.00863	16	0.031369	1450	18	-1.241	-0.1609	0.3173	10.3092	5.7973	0.5407	-0.4776	-0.5624
HG02026	KHV	East_Asian	0.007003	14	0.031834	1571	18	-1.0355	-0.3328	0.2632	11.2293	6.5088	0.4109	-0.4446	-0.4506
HG02027	UNKNOWN		0.010886	25	0.032154	1554	16	-1.5878	0.5096	0.0098	8.9108	3.9036	0.7449	-0.5863	-0.5905
HG02028	KHV	East_Asian	0.009328	21	0.02996	1434	26	-1.1729	0.3583	1.0929	7.7722	6.3884	0.7656	0.0662	-0.7173
HG02029	KHV	East_Asian	0.006081	14	0.032546	1489	19	-0.9329	-0.3473	0.2954	10.9953	6.6427	0.3285	-0.3984	-0.3477
HG02030	UNKNOWN		0.005855	13	0.030916	1518	18	-1.0828	-0.5061	0.3698	11.5624	6.577	0.416	-0.4591	-0.4823
HG02031	KHV	East_Asian	0.010987	22	0.034446	1496	28	-0.6996	0.7572	0.8038	7.5007	6.2491	0.5255	0.2201	-0.3919
HG02032	KHV	East_Asian	0.007049	15	0.032506	1538	19	-0.9731	-0.2218	0.2826	10.8721	6.4806	0.3851	-0.3851	-0.3932
HG02035	KHV	East_Asian	0.00959	17	0.032099	1442	22	-1.0348	0.0976	0.5714	8.7005	6.358	0.5424	-0.2057	-0.5393
HG02040	KHV	East_Asian	0.00529	12	0.030491	1316	20	-1.0639	-0.6005	0.6205	11.4854	7.2148	0.4063	-0.3771	-0.4954
HG02047	KHV	East_Asian	0.005187	12	0.031544	1322	26	-0.6616	-0.3906	1.0136	8.1829	8.2702	0.3282	0.0357	-0.3978
HG02048	KHV	East_Asian	0.006349	11	0.03498	1269	22	-0.5543	-0.3808	0.3624	9.5164	8.2928	0.1048	-0.2529	-0.1438
HG02049	KHV	East_Asian	0.005067	11	0.030925	1325	30	-0.4818	-0.3649	1.408	7.9085	8.6302	0.3477	0.3105	-0.4474
HG02050	KHV	East_Asian	0.005975	12	0.033655	1436	20	-0.7305	-0.4148	0.2902	10.3041	7.9838	0.206	-0.3444	-0.245
HG02051	ACB	African	0.002256	5	0.044707	2962	37	2.157	0.1864	0.3807	-2.2725	8.8734	-0.8473	1.2365	0.8948
HG02052	ACB	African	0.005217	11	0.045348	3547	43	2.4936	1.0451	0.6682	-1.5836	5.7306	-0.6689	1.8071	0.8233
HG02053	ACB	African	0.003766	9	0.043412	3898	35	2.173	0.6083	0.141	-1.2811	7.3563	-0.6224	1.3546	0.7148
HG02054	ACB	African	0.004174	8	0.046727	3620	28	2.0387	0.4348	-0.7015	0.1103	9.0749	-0.8633	0.7992	0.9907
HG02055	UNKNOWN		0.001353	3	0.044591	3688	28	2.1094	-0.0986	-0.4774	-0.7751	10.0317	-0.9107	0.8177	0.9236
HG02056	UNKNOWN		0.003813	9	0.033478	1614	25	-0.2639	-0.5451	0.7064	9.1291	9.5362	0.0829	0.0467	-0.1669
HG02057	KHV	East_Asian	0.00761	14	0.031816	1512	28	-0.5804	-0.0203	1.1004	7.8869	8.1153	0.4332	0.2245	-0.4786
HG02058	KHV	East_Asian	0.006161	14	0.030209	1556	37	-0.2297	0.1058	1.9951	7.8128	8.6662	0.4969	0.8531	-0.5581
HG02059	UNKNOWN		0.042991	23	0.012664	1031	13	-4.4964	1.3003	1.6545	5.5121	3.6012	3.1977	-0.9344	-3.707
HG02060	KHV	East_Asian	0.002593	6	0.030255	1480	18	-0.8401	-1.1526	0.4817	14.3305	11.9405	0.2084	-0.4694	-0.3995
HG02061	KHV	East_Asian	0.004878	10	0.033347	1497	23	-0.4875	-0.5111	0.5684	9.6011	8.9466	0.1493	-0.1222	-0.2247
HG02064	KHV	East_Asian	0.002991	6	0.034036	1326	11	-0.9106	-1.2218	-0.4336	14.9192	9.1213	-0.0456	-0.991	-0.082
HG02067	KHV	East_Asian	0.002002	4	0.03454	1567	24	-0.0175	-0.9518	0.5578	10.519	11.9041	-0.156	-0.0346	0.0055
HG02068	UNKNOWN		0.002419	5	0.033538	1505	19	-0.4323	-1.0638	0.2476	13.3015	11.8142	-0.0504	-0.3941	-0.1013
